,percentage_occupied,a_symmetry,b_symmetry,c_symmetry,contour_perimeter,total_contour_perimeter,iou_circle,View
198,71.05481727574751,1.0,0.0,-43.0,567.0,913.0,0.7688270795066912,2.0
199,73.84404388714734,1.0,0.0,-29.0,547.0,887.0,0.7831061343719572,2.0
200,50.88988216172288,1.0,0.0,-58.0,1233.0,948.0,0.522400587556395,1.0
201,81.89621913580247,0.0,1.0,-64.0,1943.0,3011.0,0.6139844486333648,1.0
202,71.455938697318,1.0,0.0,-45.0,567.0,907.0,0.7815003641660597,2.0
203,67.18487394957982,1.0,0.0,-42.0,977.0,871.0,0.6039521291399944,1.0
204,69.53492935635794,1.0,0.0,-46.0,939.0,1807.0,0.8254009649237188,3.0
205,64.84983314794216,0.0,1.0,-31.0,576.0,522.0,0.7605743112145906,3.0
206,72.34393757503001,0.0,1.0,-49.0,607.0,1048.0,0.8149990434283528,2.0
207,50.0,0.0,1.0,-2.0,12.0,4.0,0.46153846153846156,3.0
208,71.8499240945565,0.0,1.0,-44.0,903.0,1721.0,0.8783803326102675,1.0
209,66.25186878902471,1.213235294117647,1.0,-167.5,1541.0,2295.0,0.6812391788276033,3.0
210,71.27659574468085,0.0,1.0,-47.0,836.0,837.0,0.6454665492957746,1.0
211,57.1078180889116,0.0,1.0,-52.0,946.0,1174.0,0.6519337016574586,1.0
212,64.86762615493959,1.0,0.0,-84.0,1351.0,1303.0,0.7747413268411443,3.0
213,65.08760545100584,1.0,0.0,-23.0,586.0,432.0,0.7498844197873324,1.0
214,78.31632653061224,1.0,0.0,-66.0,1106.0,1034.0,0.8754483208346919,2.0
215,45.43269230769231,0.0,1.0,-26.0,562.0,418.0,0.5938158819395642,1.0
216,64.72191426459719,1.0,0.0,-82.0,1259.0,1947.0,0.777306938207577,3.0
217,64.31149019929467,0.0,1.0,-68.0,1318.0,1863.0,0.7458835230412201,3.0
218,79.61876832844574,0.0,1.0,-62.0,1098.0,2645.0,0.8841800804828974,1.0
219,63.9252962606256,1.1690140845070423,1.0,-168.5,1603.0,2772.0,0.7186432693440113,3.0
220,64.43419985486831,1.25,1.0,-172.5,2197.0,2611.0,0.6127029021151008,3.0
221,74.33139100552818,0.0,1.0,-48.0,984.0,1178.0,0.677773497688752,1.0
222,77.32646834477498,0.0,1.0,-46.0,885.0,2004.0,0.8833038348082596,1.0
223,72.59837962962963,1.0,0.0,-54.0,724.0,588.0,0.7463175122749591,1.0
224,70.4968944099379,1.0,0.0,-32.0,794.0,899.0,0.6361587015329125,1.0
225,64.45603576751118,1.0,0.0,-60.0,1759.0,1065.0,0.6003436426116838,1.0
226,71.61111111111111,0.0,1.0,-50.0,970.0,1184.0,0.7164778955060285,1.0
227,79.16666666666666,0.0,1.0,-4.0,36.0,7.0,0.9122807017543859,2.0
228,75.11722731906218,0.0,1.0,-45.0,903.0,1914.0,0.8751292657704239,1.0
